X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
568;303;0.4918873;0.5125662;0.5692236;0.5506426;531.9;0.2323405;False;14/04/2026 4:21:22 PM:526;1776147682526;;
574;304;0.4965588;0.5132374;0.5690102;0.5506855;531.6;0.2321252;False;14/04/2026 4:21:22 PM:547;1776147682547;;
575;304;0.4976283;0.5139586;0.5374588;0.5569818;531.3;0.2328685;False;14/04/2026 4:21:22 PM:566;1776147682566;;
581;305;0.5032949;0.5145831;0.5859973;0.5545762;533.0;0.2231674;False;14/04/2026 4:21:22 PM:588;1776147682588;;
586;305;0.5077816;0.5150953;0.586213;0.5545275;534.5;0.2234845;False;14/04/2026 4:21:22 PM:608;1776147682608;;
591;305;0.5114272;0.515529;0.5861226;0.5545479;535.9;0.2233506;False;14/04/2026 4:21:22 PM:627;1776147682627;;
595;305;0.5148757;0.5159579;0.5859758;0.554581;537.2;0.2231353;False;14/04/2026 4:21:22 PM:649;1776147682649;;
598;305;0.5178341;0.5159714;0.586562;0.5343823;536.3;0.2330903;False;14/04/2026 4:21:22 PM:670;1776147682670;;
600;305;0.5193442;0.5159951;0.575857;0.5292044;535.4;0.2334233;False;14/04/2026 4:21:22 PM:690;1776147682690;;
601;305;0.5205919;0.5160152;0.5759927;0.5291741;534.7;0.2336271;False;14/04/2026 4:21:22 PM:709;1776147682709;;
621;305;0.5373873;0.5159853;0.6840199;0.5125737;535.3;0.2206912;False;14/04/2026 4:21:22 PM:730;1776147682730;;
637;305;0.5510674;0.5158756;0.689783;0.5051774;535.7;0.2209902;False;14/04/2026 4:21:22 PM:750;1776147682750;;
649;305;0.5621613;0.5157797;0.6897798;0.5051788;536.2;0.2209714;False;14/04/2026 4:21:22 PM:769;1776147682769;;
660;305;0.571516;0.5156931;0.6897741;0.5051814;536.6;0.2209306;False;14/04/2026 4:21:22 PM:789;1776147682789;;
655;305;0.5666766;0.5159446;0.5067364;0.5434926;535.9;0.2269888;False;14/04/2026 4:21:22 PM:810;1776147682810;;
643;306;0.5568371;0.5161528;0.4603882;0.5437323;535.3;0.2274087;False;14/04/2026 4:21:22 PM:829;1776147682829;;
633;306;0.5482337;0.5163516;0.4603895;0.5437321;534.8;0.2274111;False;14/04/2026 4:21:22 PM:850;1776147682850;;
630;307;0.5451061;0.5180407;0.4936527;0.5851969;534.5;0.2043941;False;14/04/2026 4:21:22 PM:871;1776147682871;;
626;307;0.5419268;0.5189519;0.4847743;0.5753796;534.3;0.2047517;False;14/04/2026 4:21:22 PM:891;1776147682891;;
623;308;0.5391319;0.5197825;0.4847836;0.5753776;534.0;0.2047649;False;14/04/2026 4:21:22 PM:910;1776147682910;;
621;308;0.5372438;0.5198408;0.4916516;0.5361547;536.2;0.2213962;False;14/04/2026 4:21:22 PM:932;1776147682932;;
619;308;0.535788;0.5198886;0.492144;0.5360498;538.1;0.22206;False;14/04/2026 4:21:22 PM:951;1776147682951;;
617;308;0.5345099;0.5199323;0.4922015;0.5360376;539.8;0.2221377;False;14/04/2026 4:21:22 PM:971;1776147682971;;
621;308;0.5377849;0.5199244;0.5940711;0.5191389;537.6;0.2209616;False;14/04/2026 4:21:22 PM:991;1776147682991;;
624;308;0.5403231;0.5198634;0.5940015;0.5139187;535.5;0.2212883;False;14/04/2026 4:21:23 PM:11;1776147683011;;
627;308;0.5424904;0.5198097;0.5940189;0.5139148;533.7;0.2213122;False;14/04/2026 4:21:23 PM:31;1776147683031;;
632;308;0.5468231;0.5199994;0.6183001;0.5488694;532.9;0.2190975;False;14/04/2026 4:21:23 PM:52;1776147683052;;
636;308;0.5502812;0.5201555;0.6185969;0.5488038;532.2;0.2195062;False;14/04/2026 4:21:23 PM:71;1776147683071;;
639;308;0.5532984;0.5202985;0.618483;0.5488291;531.6;0.2193483;False;14/04/2026 4:21:23 PM:91;1776147683091;;
642;308;0.5559762;0.5204322;0.618313;0.5488665;531.0;0.2191148;False;14/04/2026 4:21:23 PM:112;1776147683112;;
642;308;0.5556477;0.5209152;0.5432324;0.5644225;530.5;0.2139267;False;14/04/2026 4:21:23 PM:133;1776147683133;;
641;309;0.55501;0.5212945;0.5329865;0.5643749;530.0;0.2142763;False;14/04/2026 4:21:23 PM:152;1776147683152;;
640;309;0.5544448;0.5216383;0.5330372;0.564365;529.5;0.214345;False;14/04/2026 4:21:23 PM:172;1776147683172;;
640;309;0.553955;0.5219426;0.5330971;0.5643533;529.1;0.2144227;False;14/04/2026 4:21:23 PM:192;1776147683192;;
641;309;0.5551379;0.5219718;0.5942035;0.5465244;528.6;0.2268873;False;14/04/2026 4:21:23 PM:213;1776147683213;;
642;309;0.555521;0.5220312;0.5819039;0.5530847;528.2;0.2272524;False;14/04/2026 4:21:23 PM:232;1776147683232;;
642;309;0.5560319;0.5220704;0.5864075;0.5452777;527.9;0.2273625;False;14/04/2026 4:21:23 PM:252;1776147683252;;
643;309;0.5562795;0.5221454;0.5801218;0.5335027;530.4;0.2189014;False;14/04/2026 4:21:23 PM:272;1776147683272;;
643;309;0.5562933;0.522207;0.5702938;0.5326119;532.7;0.2194667;False;14/04/2026 4:21:23 PM:292;1776147683292;;
643;309;0.5565132;0.5222643;0.5804338;0.5334342;534.7;0.2193101;False;14/04/2026 4:21:23 PM:311;1776147683311;;
629;311;0.5447792;0.52516;0.4405747;0.6157548;535.2;0.2281038;False;14/04/2026 4:21:23 PM:333;1776147683333;;
622;312;0.538561;0.5272607;0.45997;0.6110956;535.7;0.2284894;False;14/04/2026 4:21:23 PM:353;1776147683353;;
616;313;0.5332769;0.5291346;0.4600281;0.6110833;536.1;0.2286114;False;14/04/2026 4:21:23 PM:375;1776147683375;;
616;313;0.5332807;0.5290627;0.5358518;0.5250472;537.0;0.2154004;False;14/04/2026 4:21:23 PM:396;1776147683396;;
616;313;0.5332851;0.5290044;0.5362198;0.5249717;537.8;0.215881;False;14/04/2026 4:21:23 PM:416;1776147683416;;
616;313;0.5332856;0.5290208;0.5339638;0.5305488;538.6;0.2160927;False;14/04/2026 4:21:23 PM:435;1776147683435;;
616;313;0.53308;0.5293067;0.5182768;0.5699028;537.1;0.2236598;False;14/04/2026 4:21:23 PM:456;1776147683456;;
616;314;0.5329168;0.529541;0.5184903;0.5698599;535.7;0.2238849;False;14/04/2026 4:21:23 PM:475;1776147683475;;
615;314;0.5327766;0.5297458;0.5185797;0.5698419;534.5;0.2239807;False;14/04/2026 4:21:23 PM:494;1776147683494;;
615;314;0.5326504;0.5299329;0.5186428;0.5698292;533.4;0.2240469;False;14/04/2026 4:21:23 PM:514;1776147683514;;
621;314;0.5375649;0.5304428;0.6093992;0.5822692;531.4;0.2142953;False;14/04/2026 4:21:23 PM:535;1776147683535;;
625;314;0.5414752;0.5308593;0.6099472;0.5821582;529.6;0.2148288;False;14/04/2026 4:21:23 PM:554;1776147683554;;
630;315;0.5450129;0.5312573;0.6097777;0.5821925;527.9;0.2146642;False;14/04/2026 4:21:23 PM:576;1776147683576;;
633;315;0.5478125;0.5315888;0.6095428;0.5822401;526.4;0.2144345;False;14/04/2026 4:21:23 PM:594;1776147683594;;
646;315;0.5595538;0.5315841;0.6773933;0.531296;528.7;0.2303154;False;14/04/2026 4:21:23 PM:617;1776147683617;;
658;315;0.56947;0.531575;0.6811441;0.5309271;530.7;0.2306398;False;14/04/2026 4:21:23 PM:637;1776147683637;;
667;315;0.5772947;0.5315674;0.6810926;0.5309378;532.5;0.2305764;False;14/04/2026 4:21:23 PM:656;1776147683656;;
669;315;0.5787237;0.5315664;0.6289355;0.5314792;531.9;0.2289619;False;14/04/2026 4:21:23 PM:678;1776147683678;;
670;315;0.579859;0.5315653;0.6291026;0.5314452;531.2;0.2291418;False;14/04/2026 4:21:23 PM:696;1776147683696;;
671;315;0.5808923;0.5315642;0.6291398;0.5314376;530.7;0.2291816;False;14/04/2026 4:21:23 PM:717;1776147683717;;
671;315;0.5809776;0.531584;0.5859621;0.5467737;530.7;0.2218231;False;14/04/2026 4:21:23 PM:737;1776147683737;;
671;315;0.5810497;0.5316005;0.5863869;0.5466855;530.7;0.2222726;False;14/04/2026 4:21:23 PM:757;1776147683757;;
