X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
921;293;0.7967674;0.4953734;0.7933758;0.5430036;474.1;0.2711754;False;15/04/2026 8:58:26 PM:417;1776250706417;;
920;294;0.7965126;0.4963596;0.7883388;0.5341566;474.6;0.2464032;False;15/04/2026 8:58:26 PM:449;1776250706449;;
920;295;0.7965307;0.4975964;0.8100916;0.5439253;475.1;0.2472411;False;15/04/2026 8:58:26 PM:480;1776250706480;;
920;295;0.7964689;0.4976018;0.7932293;0.5079211;478.9;0.2537514;False;15/04/2026 8:58:26 PM:511;1776250706511;;
920;295;0.7964164;0.4976068;0.793224;0.5079284;482.3;0.2536761;False;15/04/2026 8:58:26 PM:542;1776250706542;;
922;295;0.7980514;0.4981636;0.8386649;0.5334757;482.6;0.2653129;False;15/04/2026 8:58:26 PM:573;1776250706573;;
925;295;0.8003926;0.4991361;0.8509675;0.546787;482.9;0.2659446;False;15/04/2026 8:58:26 PM:602;1776250706602;;
927;296;0.8022978;0.4999446;0.850975;0.5467771;483.1;0.2660663;False;15/04/2026 8:58:26 PM:632;1776250706632;;
925;296;0.8001862;0.5000123;0.7675548;0.5077513;485.1;0.240782;False;15/04/2026 8:58:26 PM:662;1776250706662;;
923;296;0.7991644;0.500064;0.7752084;0.5127286;486.9;0.241195;False;15/04/2026 8:58:26 PM:692;1776250706692;;
926;296;0.8017474;0.5001067;0.8507838;0.5213526;487.1;0.2509601;False;15/04/2026 8:58:26 PM:722;1776250706722;;
929;296;0.8038057;0.5001133;0.8509438;0.5186148;487.3;0.250823;False;15/04/2026 8:58:26 PM:754;1776250706754;;
931;296;0.8061486;0.5001681;0.8580738;0.5094772;488.1;0.2696876;False;15/04/2026 8:58:26 PM:785;1776250706785;;
934;296;0.8082197;0.500207;0.8605819;0.5120939;488.7;0.2702758;False;15/04/2026 8:58:26 PM:814;1776250706814;;
927;296;0.8026897;0.4999677;0.7471668;0.4867566;488.8;0.2612193;False;15/04/2026 8:58:26 PM:845;1776250706845;;
926;296;0.8015594;0.4998172;0.7777168;0.4889392;488.8;0.2617812;False;15/04/2026 8:58:26 PM:876;1776250706876;;
927;296;0.801944;0.4999779;0.8252891;0.5205352;489.4;0.2667399;False;15/04/2026 8:58:26 PM:907;1776250706907;;
927;296;0.8021936;0.5000106;0.8235346;0.5136719;490.0;0.267494;False;15/04/2026 8:58:26 PM:939;1776250706939;;
923;296;0.7991921;0.5000267;0.7566878;0.5074205;489.7;0.2559542;False;15/04/2026 8:58:26 PM:970;1776250706970;;
921;296;0.7969658;0.5000414;0.7568057;0.5064906;489.5;0.2568413;False;15/04/2026 8:58:27 PM:0;1776250707000;;
920;296;0.7961838;0.500087;0.770829;0.514659;489.3;0.2571807;False;15/04/2026 8:58:27 PM:29;1776250707029;;
886;297;0.766587;0.5013902;0.6205006;0.5525548;489.2;0.2405304;False;15/04/2026 8:58:27 PM:59;1776250707059;;
862;297;0.7462551;0.5024118;0.6209483;0.5524417;489.1;0.2410082;False;15/04/2026 8:58:27 PM:88;1776250707088;;
852;297;0.7371901;0.5024492;0.6519619;0.5250235;488.0;0.2402988;False;15/04/2026 8:58:27 PM:118;1776250707118;;
844;297;0.7304544;0.5024794;0.6520228;0.5249866;487.1;0.2408852;False;15/04/2026 8:58:27 PM:146;1776250707146;;
823;299;0.7120163;0.504582;0.5886351;0.5739071;487.4;0.2379073;False;15/04/2026 8:58:27 PM:177;1776250707177;;
806;300;0.6979787;0.5063474;0.5888417;0.5738589;487.7;0.2382427;False;15/04/2026 8:58:27 PM:208;1776250707208;;
804;300;0.6959952;0.5063686;0.6457289;0.5390697;488.4;0.2522176;False;15/04/2026 8:58:27 PM:239;1776250707239;;
794;300;0.687606;0.5066057;0.5949221;0.5478827;489.0;0.2535818;False;15/04/2026 8:58:27 PM:269;1776250707269;;
773;300;0.6687065;0.5067103;0.5385395;0.53391;489.1;0.2563532;False;15/04/2026 8:58:27 PM:300;1776250707300;;
752;300;0.6508393;0.5067736;0.5205981;0.5417395;489.1;0.2573366;False;15/04/2026 8:58:27 PM:329;1776250707329;;
752;300;0.6509591;0.5068787;0.6541947;0.5329041;490.4;0.2425191;False;15/04/2026 8:58:27 PM:360;1776250707360;;
752;300;0.6510568;0.5069665;0.6542578;0.5328279;491.4;0.2432911;False;15/04/2026 8:58:27 PM:389;1776250707389;;
752;300;0.6511422;0.5070471;0.6541745;0.5329286;492.4;0.2422721;False;15/04/2026 8:58:27 PM:421;1776250707421;;
718;301;0.6213806;0.5088447;0.4721901;0.5779455;492.5;0.230103;False;15/04/2026 8:58:27 PM:454;1776250707454;;
684;302;0.591905;0.5107539;0.4406407;0.5859076;492.5;0.230904;False;15/04/2026 8:58:27 PM:484;1776250707484;;
684;303;0.5917143;0.5112661;0.5728744;0.5655887;493.3;0.2078021;False;15/04/2026 8:58:27 PM:515;1776250707515;;
683;303;0.5916361;0.5115302;0.5757474;0.5615568;494.0;0.2084515;False;15/04/2026 8:58:27 PM:545;1776250707545;;
680;303;0.58906;0.5125674;0.5378134;0.5790763;491.9;0.2208739;False;15/04/2026 8:58:27 PM:577;1776250707577;;
678;304;0.5870979;0.5133858;0.5380526;0.5790013;490.1;0.2212714;False;15/04/2026 8:58:27 PM:607;1776250707607;;
660;306;0.571155;0.5172268;0.4626567;0.615478;489.7;0.2101393;False;15/04/2026 8:58:27 PM:645;1776250707645;;
651;309;0.5635915;0.5211654;0.4763989;0.6293848;489.4;0.2118258;False;15/04/2026 8:58:27 PM:678;1776250707678;;
642;310;0.555737;0.523964;0.46354;0.6262022;488.5;0.2165308;False;15/04/2026 8:58:27 PM:709;1776250707709;;
635;311;0.5498081;0.5258605;0.4628983;0.6225856;487.7;0.217317;False;15/04/2026 8:58:27 PM:738;1776250707738;;
627;312;0.5431091;0.5274299;0.4502098;0.6224276;487.0;0.217491;False;15/04/2026 8:58:27 PM:768;1776250707768;;
606;312;0.5247239;0.5277851;0.3895095;0.5896123;486.0;0.2214613;False;15/04/2026 8:58:27 PM:799;1776250707799;;
580;313;0.5018907;0.5281279;0.3548216;0.5881995;485.1;0.2216588;False;15/04/2026 8:58:27 PM:830;1776250707830;;
574;313;0.4973888;0.5282945;0.4170397;0.5992512;485.9;0.2140591;False;15/04/2026 8:58:27 PM:861;1776250707861;;
570;313;0.4935218;0.5284495;0.4165952;0.5993552;486.7;0.2132553;False;15/04/2026 8:58:27 PM:895;1776250707895;;
570;313;0.4932059;0.52887;0.4440195;0.605368;485.1;0.2258372;False;15/04/2026 8:58:27 PM:928;1776250707928;;
569;313;0.4929478;0.5292114;0.4439777;0.6053813;483.7;0.2257619;False;15/04/2026 8:58:27 PM:958;1776250707958;;
569;314;0.4924379;0.5296406;0.4611131;0.6080715;485.8;0.2069758;False;15/04/2026 8:58:27 PM:989;1776250707989;;
568;314;0.4920221;0.5299855;0.4614312;0.6079962;487.6;0.2075375;False;15/04/2026 8:58:28 PM:19;1776250708019;;
553;315;0.4789625;0.5317656;0.3591388;0.6313016;484.5;0.2281679;False;15/04/2026 8:58:28 PM:50;1776250708050;;
542;316;0.4689643;0.5332334;0.3591739;0.631291;481.6;0.2282325;False;15/04/2026 8:58:28 PM:81;1776250708081;;
525;317;0.4546921;0.534751;0.328901;0.6351526;483.5;0.2155604;False;15/04/2026 8:58:28 PM:112;1776250708112;;
513;317;0.4439856;0.5359848;0.3290761;0.6351173;485.2;0.2157708;False;15/04/2026 8:58:28 PM:142;1776250708142;;
512;318;0.4435285;0.5377104;0.4052821;0.6434323;483.9;0.2239483;False;15/04/2026 8:58:28 PM:175;1776250708175;;
512;319;0.4430496;0.5384518;0.4305995;0.6349828;482.8;0.2251177;False;15/04/2026 8:58:28 PM:205;1776250708205;;
510;319;0.4420051;0.5395219;0.3874588;0.6405604;483.1;0.2188175;False;15/04/2026 8:58:28 PM:238;1776250708238;;
510;320;0.4412111;0.5403582;0.3877131;0.6404979;483.4;0.2191103;False;15/04/2026 8:58:28 PM:269;1776250708269;;
509;320;0.4410237;0.5405924;0.3948447;0.6251585;485.3;0.2210713;False;15/04/2026 8:58:28 PM:300;1776250708300;;
509;320;0.4406753;0.5407099;0.406052;0.6266185;487.0;0.2221724;False;15/04/2026 8:58:28 PM:331;1776250708331;;
509;320;0.4404809;0.5408881;0.3953192;0.6250609;488.5;0.22167;False;15/04/2026 8:58:28 PM:361;1776250708361;;
506;320;0.4380369;0.5412883;0.3686247;0.6196578;490.6;0.2019422;False;15/04/2026 8:58:28 PM:392;1776250708392;;
503;321;0.4359687;0.5416341;0.3684785;0.6196885;492.4;0.2017787;False;15/04/2026 8:58:28 PM:425;1776250708425;;
498;321;0.4308504;0.5417977;0.3427627;0.6224663;492.3;0.2035582;False;15/04/2026 8:58:28 PM:457;1776250708457;;
491;321;0.4252518;0.5419735;0.3327206;0.6277286;492.2;0.2030259;False;15/04/2026 8:58:28 PM:490;1776250708490;;
528;321;0.4570104;0.5427783;0.5838461;0.5643418;493.9;0.2101941;False;15/04/2026 8:58:28 PM:521;1776250708521;;
555;322;0.4801202;0.5434719;0.5838593;0.5643446;495.4;0.2100759;False;15/04/2026 8:58:28 PM:555;1776250708555;;
603;322;0.5221753;0.543592;0.6677631;0.5466905;495.7;0.2132911;False;15/04/2026 8:58:28 PM:587;1776250708587;;
631;322;0.546276;0.5438996;0.659765;0.5568914;496.0;0.214456;False;15/04/2026 8:58:28 PM:619;1776250708619;;
667;321;0.5776846;0.5429628;0.7058007;0.5214119;494.9;0.2394152;False;15/04/2026 8:58:28 PM:650;1776250708650;;
699;321;0.6047766;0.5427043;0.7276309;0.533267;494.0;0.2404671;False;15/04/2026 8:58:28 PM:681;1776250708681;;
730;321;0.6318714;0.5425112;0.7526112;0.5342721;492.5;0.248263;False;15/04/2026 8:58:28 PM:713;1776250708713;;
749;321;0.6484049;0.542556;0.745495;0.5465448;491.1;0.2490749;False;15/04/2026 8:58:28 PM:745;1776250708745;;
756;321;0.6544483;0.5416492;0.7115313;0.512545;491.1;0.2550955;False;15/04/2026 8:58:28 PM:778;1776250708778;;
764;321;0.6610124;0.5414897;0.725742;0.5302698;491.0;0.2562589;False;15/04/2026 8:58:28 PM:808;1776250708808;;
771;321;0.6671312;0.5415915;0.7323059;0.5589251;487.1;0.2333974;False;15/04/2026 8:58:28 PM:840;1776250708840;;
776;321;0.6716672;0.5416715;0.7324013;0.5588676;483.7;0.234263;False;15/04/2026 8:58:28 PM:869;1776250708869;;
780;321;0.6753486;0.541741;0.7323976;0.5588698;480.6;0.234229;False;15/04/2026 8:58:28 PM:899;1776250708899;;
783;321;0.6776052;0.5418224;0.7245938;0.5601282;478.7;0.2293814;False;15/04/2026 8:58:28 PM:932;1776250708932;;
785;321;0.6793556;0.5418882;0.7246037;0.5601153;477.1;0.2294974;False;15/04/2026 8:58:28 PM:964;1776250708964;;
785;321;0.6790817;0.5425667;0.6708803;0.5822055;477.1;0.2399554;False;15/04/2026 8:58:28 PM:997;1776250708997;;
784;322;0.6788747;0.543103;0.6710796;0.582163;477.2;0.2401768;False;15/04/2026 8:58:29 PM:27;1776250709027;;
723;322;0.6258457;0.5438346;0.4459229;0.5892878;477.9;0.2355505;False;15/04/2026 8:58:29 PM:59;1776250709059;;
682;322;0.5905661;0.5444326;0.4461577;0.5892283;478.7;0.235844;False;15/04/2026 8:58:29 PM:91;1776250709091;;
648;323;0.5611029;0.5455411;0.4288921;0.6027627;479.9;0.2389146;False;15/04/2026 8:58:29 PM:122;1776250709122;;
625;324;0.5410408;0.5464197;0.4292009;0.6026992;480.9;0.2393355;False;15/04/2026 8:58:29 PM:152;1776250709152;;
575;324;0.4976591;0.5471023;0.3359122;0.6010456;481.4;0.2282753;False;15/04/2026 8:58:29 PM:183;1776250709183;;
541;324;0.4680066;0.547669;0.3359755;0.6010309;481.8;0.228404;False;15/04/2026 8:58:29 PM:215;1776250709215;;
492;324;0.4259843;0.5478793;0.2724562;0.5937408;483.8;0.1927368;False;15/04/2026 8:58:29 PM:247;1776250709247;;
468;324;0.4052397;0.5479764;0.2957662;0.5913911;485.6;0.1930671;False;15/04/2026 8:58:29 PM:279;1776250709279;;
423;325;0.3662587;0.5481262;0.2181978;0.5934287;485.2;0.2033912;False;15/04/2026 8:58:29 PM:312;1776250709312;;
394;325;0.3408968;0.5482441;0.2183531;0.5933922;484.8;0.2036664;False;15/04/2026 8:58:29 PM:343;1776250709343;;
356;325;0.3082445;0.5483152;0.1698997;0.5923477;483.7;0.2113413;False;15/04/2026 8:58:29 PM:375;1776250709375;;
331;325;0.2866254;0.5483735;0.170141;0.5923852;482.8;0.2118741;False;15/04/2026 8:58:29 PM:404;1776250709404;;
313;325;0.2708634;0.5486403;0.1723601;0.5738459;483.3;0.2128891;False;15/04/2026 8:58:29 PM:437;1776250709437;;
299;325;0.2594676;0.5488572;0.1723625;0.5738437;483.8;0.2130406;False;15/04/2026 8:58:29 PM:466;1776250709466;;
290;325;0.2516931;0.5489256;0.1785185;0.5827707;483.5;0.2061621;False;15/04/2026 8:58:29 PM:499;1776250709499;;
284;325;0.2459381;0.5489817;0.1786018;0.5827746;483.2;0.2064204;False;15/04/2026 8:58:29 PM:530;1776250709530;;
283;325;0.2449469;0.5490337;0.2142839;0.5866176;482.9;0.2058178;False;15/04/2026 8:58:29 PM:564;1776250709564;;
288;325;0.2496085;0.5496764;0.3051381;0.604059;483.4;0.2196426;False;15/04/2026 8:58:29 PM:595;1776250709595;;
292;326;0.2532313;0.550202;0.3053129;0.604023;483.8;0.2198486;False;15/04/2026 8:58:29 PM:626;1776250709626;;
291;327;0.2519821;0.551469;0.2220055;0.620167;483.6;0.2116311;False;15/04/2026 8:58:29 PM:658;1776250709658;;
290;327;0.2510098;0.5524833;0.2221594;0.620134;483.3;0.2118149;False;15/04/2026 8:58:29 PM:689;1776250709689;;
292;327;0.2526873;0.5530854;0.2864823;0.6149389;483.8;0.2176687;False;15/04/2026 8:58:29 PM:721;1776250709721;;
293;328;0.2540359;0.5535845;0.2865528;0.6149247;484.3;0.2177542;False;15/04/2026 8:58:29 PM:753;1776250709753;;
293;328;0.2540527;0.5536541;0.2603687;0.6024628;485.8;0.218247;False;15/04/2026 8:58:29 PM:786;1776250709786;;
293;328;0.253962;0.5539476;0.2475441;0.5924311;487.2;0.2185167;False;15/04/2026 8:58:29 PM:819;1776250709819;;
288;328;0.249627;0.5543026;0.1972019;0.587154;485.4;0.2081204;False;15/04/2026 8:58:29 PM:856;1776250709856;;
283;328;0.2456483;0.5546383;0.1918566;0.5824333;483.8;0.2078749;False;15/04/2026 8:58:29 PM:894;1776250709894;;
299;328;0.2590191;0.5547836;0.3445112;0.5908865;482.0;0.2191575;False;15/04/2026 8:58:29 PM:932;1776250709932;;
310;329;0.2688368;0.5550455;0.3470761;0.5813893;482.0;0.224992;False;15/04/2026 8:58:29 PM:970;1776250709970;;
319;329;0.2763333;0.5552658;0.3471218;0.5813801;482.0;0.2250509;False;15/04/2026 8:58:30 PM:10;1776250710010;;
338;329;0.2925598;0.5553806;0.3841958;0.5867169;482.0;0.222805;False;15/04/2026 8:58:30 PM:64;1776250710064;;
