X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
613;276;0.5307935;0.4653597;0.4666717;0.554122;452.1;0.2606893;False;14/04/2026 2:56:37 PM:981;1776142597981;;
626;276;0.5415659;0.4653974;0.6279156;0.4764948;451.3;0.2485314;False;14/04/2026 2:56:38 PM:1;1776142598001;;
635;276;0.5496516;0.4654286;0.6281047;0.4764386;450.7;0.2487693;False;14/04/2026 2:56:38 PM:23;1776142598023;;
643;276;0.5562298;0.4654565;0.6282688;0.4763897;450.1;0.2489757;False;14/04/2026 2:56:38 PM:43;1776142598043;;
649;276;0.5614888;0.4654806;0.6283036;0.4763793;449.5;0.2490199;False;14/04/2026 2:56:38 PM:62;1776142598062;;
620;279;0.5367044;0.4704691;0.3703714;0.5807073;449.5;0.2433309;False;14/04/2026 2:56:38 PM:84;1776142598084;;
597;282;0.5172275;0.4748249;0.3565962;0.5907686;449.4;0.2437711;False;14/04/2026 2:56:38 PM:102;1776142598102;;
578;284;0.50019;0.4789429;0.3567639;0.590726;449.4;0.244142;False;14/04/2026 2:56:38 PM:122;1776142598122;;
561;286;0.4855398;0.4827441;0.3565032;0.5907922;449.3;0.2435655;False;14/04/2026 2:56:38 PM:144;1776142598144;;
545;287;0.4721013;0.483204;0.3508824;0.5392465;451.8;0.2456368;False;14/04/2026 2:56:38 PM:167;1776142598167;;
534;287;0.4619641;0.4834141;0.3499952;0.5336417;454.0;0.2467431;False;14/04/2026 2:56:38 PM:188;1776142598188;;
512;289;0.4429736;0.4873034;0.294468;0.6018931;454.9;0.2435638;False;14/04/2026 2:56:38 PM:210;1776142598210;;
496;292;0.4298231;0.4921438;0.3031977;0.6205351;455.8;0.2446868;False;14/04/2026 2:56:38 PM:231;1776142598231;;
484;294;0.4195403;0.4961244;0.3029523;0.6205982;456.6;0.2441093;False;14/04/2026 2:56:38 PM:252;1776142598252;;
474;296;0.4107361;0.4997119;0.3030722;0.6205673;457.3;0.2443899;False;14/04/2026 2:56:38 PM:272;1776142598272;;
493;297;0.426646;0.5001553;0.5399324;0.5319562;456.5;0.2339113;False;14/04/2026 2:56:38 PM:295;1776142598295;;
506;297;0.4381545;0.5005075;0.5401644;0.5318967;455.8;0.2342074;False;14/04/2026 2:56:38 PM:316;1776142598316;;
628;295;0.5439559;0.4980717;0.8299268;0.4487778;455.3;0.2193289;False;14/04/2026 2:56:38 PM:339;1776142598339;;
708;294;0.6126203;0.4960752;0.8299035;0.4487868;454.8;0.2192183;False;14/04/2026 2:56:38 PM:361;1776142598361;;
762;293;0.6595286;0.4943963;0.8299834;0.4487559;454.4;0.2195982;False;14/04/2026 2:56:38 PM:383;1776142598383;;
795;293;0.6884356;0.4939505;0.812512;0.4734926;452.9;0.2267031;False;14/04/2026 2:56:38 PM:406;1776142598406;;
816;293;0.7067227;0.4936233;0.8125835;0.4734195;451.5;0.2275001;False;14/04/2026 2:56:38 PM:425;1776142598425;;
839;292;0.7262303;0.4930458;0.8283077;0.4648626;450.3;0.2280283;False;14/04/2026 2:56:38 PM:447;1776142598447;;
