X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
441;340;0.3820258;0.5745153;0.3820258;0.5745153;380.2;0.2175446;False;14/04/2026 4:09:22 PM:154;1776146962154;;
591;315;0.5113005;0.5328487;0.490862;0.5225544;433.8;0.2095292;False;14/04/2026 4:09:23 PM:221;1776146963221;;
591;315;0.5112557;0.5328165;0.5067337;0.5246075;435.2;0.2095291;False;14/04/2026 4:09:23 PM:240;1776146963240;;
590;315;0.5112159;0.5327877;0.506732;0.5246053;436.5;0.2095291;False;14/04/2026 4:09:23 PM:259;1776146963259;;
590;315;0.5111702;0.5327991;0.5038238;0.5343004;436.6;0.2088784;False;14/04/2026 4:09:23 PM:279;1776146963279;;
590;315;0.5110728;0.5328112;0.4911264;0.5347264;436.6;0.2087729;False;14/04/2026 4:09:23 PM:298;1776146963298;;
590;315;0.5109824;0.5328223;0.4911255;0.5347264;436.7;0.2087721;False;14/04/2026 4:09:23 PM:318;1776146963318;;
590;315;0.5109416;0.5328529;0.5059838;0.5374932;436.7;0.2088393;False;14/04/2026 4:09:23 PM:337;1776146963337;;
584;315;0.5056123;0.5328441;0.4209211;0.5274321;435.6;0.210167;False;14/04/2026 4:09:23 PM:358;1776146963358;;
580;315;0.5017815;0.5328364;0.4246079;0.527658;434.6;0.2101092;False;14/04/2026 4:09:23 PM:377;1776146963377;;
575;315;0.4979048;0.5328293;0.4208849;0.5274256;433.8;0.2101398;False;14/04/2026 4:09:23 PM:397;1776146963397;;
574;315;0.4970069;0.5328245;0.4506955;0.5265214;434.9;0.2165402;False;14/04/2026 4:09:23 PM:417;1776146963417;;
570;315;0.4937815;0.5328205;0.4175016;0.5242224;435.9;0.2165585;False;14/04/2026 4:09:23 PM:436;1776146963436;;
567;315;0.4906584;0.532815;0.4142244;0.5270823;436.8;0.216555;False;14/04/2026 4:09:23 PM:456;1776146963456;;
564;315;0.4880194;0.5328102;0.4142231;0.5270802;437.6;0.2165567;False;14/04/2026 4:09:23 PM:475;1776146963475;;
572;315;0.4954361;0.53272;0.5728635;0.5141592;438.8;0.2101935;False;14/04/2026 4:09:23 PM:494;1776146963494;;
585;315;0.5065818;0.5326384;0.6108652;0.5134431;439.8;0.210291;False;14/04/2026 4:09:23 PM:512;1776146963512;;
596;315;0.51593;0.5325631;0.6108825;0.5134374;440.8;0.2103046;False;14/04/2026 4:09:23 PM:532;1776146963532;;
610;315;0.5277701;0.5325521;0.6336493;0.5288766;440.0;0.2141065;False;14/04/2026 4:09:23 PM:552;1776146963552;;
626;315;0.5417925;0.5325459;0.6637129;0.5244386;439.4;0.2142034;False;14/04/2026 4:09:23 PM:571;1776146963571;;
639;315;0.5535393;0.5325402;0.6637194;0.5244352;438.7;0.2142113;False;14/04/2026 4:09:23 PM:590;1776146963590;;
639;315;0.553519;0.532531;0.5464581;0.5291044;439.1;0.2162367;False;14/04/2026 4:09:23 PM:611;1776146963611;;
639;315;0.5534997;0.5325045;0.5495089;0.5192005;439.3;0.2164334;False;14/04/2026 4:09:23 PM:630;1776146963630;;
639;315;0.5534835;0.5324823;0.5494722;0.5192119;439.6;0.2164003;False;14/04/2026 4:09:23 PM:648;1776146963648;;
639;315;0.5534684;0.5324611;0.5495759;0.5191793;439.8;0.2164947;False;14/04/2026 4:09:23 PM:666;1776146963666;;
639;315;0.5534548;0.532442;0.5494654;0.5192142;440.0;0.2163936;False;14/04/2026 4:09:23 PM:686;1776146963686;;
634;315;0.548498;0.5326355;0.4698952;0.5492235;440.0;0.2053585;False;14/04/2026 4:09:23 PM:707;1776146963707;;
629;315;0.5446314;0.5327925;0.4699021;0.5492026;439.9;0.2053993;False;14/04/2026 4:09:23 PM:725;1776146963725;;
625;316;0.5412611;0.5329348;0.4699008;0.5492051;439.9;0.205395;False;14/04/2026 4:09:23 PM:745;1776146963745;;
577;316;0.4997884;0.5334718;0.2846091;0.5677072;440.5;0.207895;False;14/04/2026 4:09:23 PM:765;1776146963765;;
553;316;0.4789518;0.5338039;0.3224192;0.5630345;441.1;0.2079808;False;14/04/2026 4:09:23 PM:783;1776146963783;;
532;316;0.4610235;0.5341237;0.3224078;0.5630431;441.7;0.2079626;False;14/04/2026 4:09:23 PM:804;1776146963804;;
502;317;0.4343919;0.5352502;0.2656483;0.5897697;441.3;0.2029605;False;14/04/2026 4:09:23 PM:824;1776146963824;;
484;317;0.4195283;0.5361656;0.2891295;0.5895025;441.0;0.2031059;False;14/04/2026 4:09:23 PM:841;1776146963841;;
