X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
480;267;0.4116022;0.4310842;0.2284875;0.4184652;477.4;0.205396;False;15/04/2026 9:28:35 PM:476;1776252515476;;
468;267;0.4017484;0.431479;0.3264987;0.4450069;477.7;0.2024671;False;15/04/2026 9:28:35 PM:496;1776252515496;;
456;268;0.390989;0.431633;0.3055125;0.4386699;477.9;0.2025301;False;15/04/2026 9:28:35 PM:515;1776252515515;;
446;268;0.3824655;0.4317659;0.3055142;0.4386694;478.2;0.2025322;False;15/04/2026 9:28:35 PM:533;1776252515533;;
437;268;0.37514;0.4318901;0.3055095;0.4386706;478.4;0.2025267;False;15/04/2026 9:28:35 PM:552;1776252515552;;
404;268;0.3465799;0.4318826;0.1932969;0.4008847;478.4;0.2209729;False;15/04/2026 9:28:35 PM:572;1776252515572;;
380;268;0.3257571;0.4318759;0.193257;0.4008863;478.4;0.2209074;False;15/04/2026 9:28:35 PM:591;1776252515591;;
360;268;0.3088025;0.4318692;0.1932598;0.4008861;478.4;0.2209113;False;15/04/2026 9:28:35 PM:611;1776252515611;;
345;268;0.2956839;0.4326142;0.1962638;0.4607032;478.5;0.2077034;False;15/04/2026 9:28:35 PM:631;1776252515631;;
334;269;0.2869537;0.4332191;0.2028437;0.460801;478.6;0.2078125;False;15/04/2026 9:28:35 PM:649;1776252515649;;
326;269;0.2797405;0.4337553;0.2028375;0.4608026;478.6;0.2078031;False;15/04/2026 9:28:35 PM:668;1776252515668;;
319;269;0.2738113;0.4340289;0.20191;0.4532299;478.7;0.2078538;False;15/04/2026 9:28:35 PM:686;1776252515686;;
319;269;0.2739187;0.4340701;0.2806661;0.4392808;479.0;0.2043903;False;15/04/2026 9:28:35 PM:707;1776252515707;;
319;269;0.2740051;0.4341034;0.280684;0.4392747;479.2;0.2044213;False;15/04/2026 9:28:35 PM:725;1776252515725;;
319;269;0.2740833;0.4341337;0.2806825;0.4392752;479.5;0.2044191;False;15/04/2026 9:28:35 PM:744;1776252515744;;
319;271;0.2741523;0.4366589;0.2975959;0.5082733;478.4;0.2062984;False;15/04/2026 9:28:35 PM:764;1776252515764;;
319;272;0.2737944;0.4388934;0.2602596;0.5111472;477.5;0.2064036;False;15/04/2026 9:28:35 PM:783;1776252515783;;
319;273;0.2736508;0.4407022;0.2664757;0.5066873;476.7;0.2063858;False;15/04/2026 9:28:35 PM:803;1776252515803;;
322;274;0.2760755;0.4425005;0.3337272;0.5071775;475.9;0.2062376;False;15/04/2026 9:28:35 PM:825;1776252515825;;
385;275;0.3306847;0.4435963;0.5651852;0.500037;476.0;0.1674327;False;15/04/2026 9:28:35 PM:846;1776252515846;;
425;276;0.3646168;0.4445868;0.5531632;0.5028623;476.1;0.1676581;False;15/04/2026 9:28:35 PM:866;1776252515866;;
458;276;0.3926611;0.4455344;0.5531223;0.5028723;476.1;0.1676026;False;15/04/2026 9:28:35 PM:887;1776252515887;;
480;276;0.4118295;0.4455512;0.5460268;0.4700092;475.8;0.1422779;False;15/04/2026 9:28:35 PM:908;1776252515908;;
496;276;0.4255656;0.445565;0.5459922;0.4699971;475.6;0.1425104;False;15/04/2026 9:28:35 PM:925;1776252515925;;
510;276;0.4370694;0.445578;0.5459904;0.4699965;475.4;0.1425223;False;15/04/2026 9:28:35 PM:944;1776252515944;;
514;276;0.4408031;0.4457024;0.4989539;0.4789208;477.4;0.1728337;False;15/04/2026 9:28:35 PM:965;1776252515965;;
517;276;0.4436489;0.4458014;0.4990708;0.4788923;479.2;0.1729896;False;15/04/2026 9:28:35 PM:983;1776252515983;;
520;276;0.4462144;0.445895;0.4990906;0.4788874;480.8;0.1730161;False;15/04/2026 9:28:36 PM:3;1776252516003;;
487;278;0.4177675;0.4477487;0.2452614;0.5266718;479.8;0.2020261;False;15/04/2026 9:28:36 PM:23;1776252516023;;
462;278;0.3965134;0.4489429;0.2423864;0.5202693;478.9;0.2020951;False;15/04/2026 9:28:36 PM:42;1776252516042;;
443;279;0.3796764;0.4499901;0.2423664;0.5202745;478.1;0.2020318;False;15/04/2026 9:28:36 PM:60;1776252516060;;
427;280;0.3660955;0.4509159;0.242384;0.5202699;477.3;0.2020921;False;15/04/2026 9:28:36 PM:78;1776252516078;;
414;280;0.3548357;0.4517509;0.2423932;0.5202676;476.7;0.2021054;False;15/04/2026 9:28:36 PM:97;1776252516097;;
414;280;0.3551427;0.4518535;0.3767616;0.487271;476.2;0.2190254;False;15/04/2026 9:28:36 PM:116;1776252516116;;
413;280;0.3544759;0.4519985;0.3277158;0.4648539;475.8;0.2191074;False;15/04/2026 9:28:36 PM:134;1776252516134;;
412;280;0.3538937;0.4521269;0.3277322;0.4648458;475.5;0.2191383;False;15/04/2026 9:28:36 PM:152;1776252516152;;
413;280;0.3540787;0.4523112;0.3694856;0.4970271;474.6;0.2158268;False;15/04/2026 9:28:36 PM:172;1776252516172;;
413;280;0.3540875;0.4523777;0.3586722;0.492525;473.9;0.215869;False;15/04/2026 9:28:36 PM:190;1776252516190;;
413;280;0.3540956;0.4524385;0.3586905;0.4925175;473.2;0.2159019;False;15/04/2026 9:28:36 PM:209;1776252516209;;
411;280;0.3526253;0.4524598;0.3129193;0.4904022;473.4;0.2103007;False;15/04/2026 9:28:36 PM:229;1776252516229;;
411;281;0.3524903;0.4525076;0.3386487;0.4862205;473.5;0.2104033;False;15/04/2026 9:28:36 PM:247;1776252516247;;
409;281;0.3506167;0.452521;0.3004197;0.453461;473.7;0.2104666;False;15/04/2026 9:28:36 PM:265;1776252516265;;
409;281;0.3505513;0.4525342;0.3386638;0.4862131;473.8;0.2104295;False;15/04/2026 9:28:36 PM:285;1776252516285;;
421;281;0.3611172;0.4537906;0.4665717;0.5254971;473.2;0.2078905;False;15/04/2026 9:28:36 PM:305;1776252516305;;
430;282;0.3691919;0.4544109;0.4689101;0.5158086;472.7;0.2081441;False;15/04/2026 9:28:36 PM:322;1776252516322;;
432;282;0.3705938;0.4550842;0.4130227;0.5187762;472.3;0.208229;False;15/04/2026 9:28:36 PM:341;1776252516341;;
458;283;0.3927953;0.4559834;0.5476462;0.5248501;470.5;0.2279825;False;15/04/2026 9:28:36 PM:360;1776252516360;;
477;283;0.408885;0.4567021;0.5477397;0.5248271;468.9;0.2281153;False;15/04/2026 9:28:36 PM:379;1776252516379;;
492;284;0.4220318;0.4573437;0.5478241;0.5248063;467.5;0.2282348;False;15/04/2026 9:28:36 PM:397;1776252516397;;
505;284;0.4331414;0.4579358;0.5477293;0.5248296;466.2;0.2281009;False;15/04/2026 9:28:36 PM:416;1776252516416;;
507;284;0.4345043;0.4579746;0.4764924;0.5075213;466.1;0.2178861;False;15/04/2026 9:28:36 PM:435;1776252516435;;
508;284;0.4355986;0.4580067;0.4765632;0.5075012;466.0;0.218026;False;15/04/2026 9:28:36 PM:454;1776252516454;;
509;284;0.4365709;0.4580364;0.4765741;0.5074981;465.8;0.218047;False;15/04/2026 9:28:36 PM:472;1776252516472;;
510;284;0.4374681;0.4580652;0.4765565;0.507503;465.7;0.2180128;False;15/04/2026 9:28:36 PM:491;1776252516491;;
507;284;0.4350353;0.4586066;0.3886656;0.5246045;465.8;0.2105966;False;15/04/2026 9:28:36 PM:512;1776252516512;;
505;285;0.433165;0.4590385;0.388711;0.5245891;465.9;0.2106799;False;15/04/2026 9:28:36 PM:531;1776252516531;;
504;285;0.4323235;0.4592598;0.4018745;0.5191282;465.9;0.2107211;False;15/04/2026 9:28:36 PM:549;1776252516549;;
504;285;0.4321466;0.4593151;0.4187451;0.5089671;466.5;0.2085936;False;15/04/2026 9:28:36 PM:569;1776252516569;;
504;285;0.4321479;0.4593344;0.4336094;0.5102983;467.0;0.208721;False;15/04/2026 9:28:36 PM:588;1776252516588;;
504;285;0.4321491;0.4593522;0.4336254;0.5102941;467.4;0.2087478;False;15/04/2026 9:28:36 PM:607;1776252516607;;
504;285;0.4321503;0.4593689;0.4336452;0.5102888;467.8;0.2087811;False;15/04/2026 9:28:36 PM:625;1776252516625;;
493;285;0.4227936;0.4598953;0.3208061;0.5281833;468.7;0.2093691;False;15/04/2026 9:28:36 PM:645;1776252516645;;
485;285;0.4156256;0.4603271;0.320881;0.5281633;469.6;0.2094991;False;15/04/2026 9:28:36 PM:664;1776252516664;;
477;286;0.4094001;0.4607269;0.3208784;0.528164;470.3;0.2094944;False;15/04/2026 9:28:36 PM:682;1776252516682;;
480;286;0.4117577;0.4608817;0.4600016;0.5213618;470.1;0.2368213;False;15/04/2026 9:28:36 PM:703;1776252516703;;
483;286;0.4139039;0.4609791;0.4643849;0.5118299;469.9;0.2372376;False;15/04/2026 9:28:36 PM:721;1776252516721;;
485;286;0.4158083;0.4610694;0.464397;0.5118269;469.7;0.2372562;False;15/04/2026 9:28:36 PM:739;1776252516739;;
506;287;0.4339511;0.4626392;0.5766108;0.555023;470.9;0.2354044;False;15/04/2026 9:28:36 PM:758;1776252516758;;
521;287;0.4465661;0.4637039;0.571566;0.5506073;471.9;0.2357619;False;15/04/2026 9:28:36 PM:776;1776252516776;;
533;288;0.4569413;0.464649;0.5715752;0.5506051;472.8;0.2357754;False;15/04/2026 9:28:36 PM:794;1776252516794;;
543;289;0.4654705;0.4654804;0.5716016;0.550599;473.7;0.2358157;False;15/04/2026 9:28:36 PM:812;1776252516812;;
552;289;0.473026;0.4662671;0.571597;0.5506;474.4;0.2358102;False;15/04/2026 9:28:36 PM:831;1776252516831;;
550;289;0.4714495;0.4664356;0.4321186;0.5360826;474.9;0.2271201;False;15/04/2026 9:28:36 PM:850;1776252516850;;
550;289;0.4713828;0.4665394;0.4645166;0.5270477;475.3;0.2274628;False;15/04/2026 9:28:36 PM:868;1776252516868;;
550;289;0.4713218;0.4666354;0.4645033;0.5270508;475.7;0.2274447;False;15/04/2026 9:28:36 PM:885;1776252516885;;
549;289;0.4710308;0.4667079;0.4539703;0.5278873;474.9;0.2176303;False;15/04/2026 9:28:36 PM:905;1776252516905;;
548;289;0.4699351;0.466928;0.4335663;0.5202476;474.3;0.2178597;False;15/04/2026 9:28:36 PM:924;1776252516924;;
547;290;0.4689832;0.4671235;0.4335172;0.5202608;473.6;0.2177655;False;15/04/2026 9:28:36 PM:942;1776252516942;;
546;290;0.4681444;0.4672997;0.433501;0.520265;473.1;0.2177338;False;15/04/2026 9:28:36 PM:960;1776252516960;;
544;290;0.4669421;0.4673603;0.4263432;0.5292615;473.8;0.2187178;False;15/04/2026 9:28:36 PM:981;1776252516981;;
543;290;0.4659779;0.4674104;0.4264619;0.5292324;474.4;0.2188726;False;15/04/2026 9:28:37 PM:0;1776252517000;;
542;290;0.4651246;0.4674564;0.4264826;0.5292262;474.9;0.2189571;False;15/04/2026 9:28:37 PM:18;1776252517018;;
562;290;0.4822472;0.4675688;0.6133845;0.5316994;474.9;0.2238223;False;15/04/2026 9:28:37 PM:39;1776252517039;;
575;290;0.4928955;0.4676322;0.6017177;0.5305901;474.9;0.2240924;False;15/04/2026 9:28:37 PM:57;1776252517057;;
585;290;0.50174;0.4676645;0.6000502;0.5295389;474.9;0.2241713;False;15/04/2026 9:28:37 PM:75;1776252517075;;
588;290;0.504589;0.4678424;0.5592521;0.5211639;472.9;0.2229171;False;15/04/2026 9:28:37 PM:94;1776252517094;;
590;290;0.5064026;0.4681337;0.5536631;0.510719;471.2;0.223164;False;15/04/2026 9:28:37 PM:113;1776252517113;;
592;290;0.5079516;0.4683896;0.5536706;0.5107172;469.6;0.2231742;False;15/04/2026 9:28:37 PM:130;1776252517130;;
594;290;0.5093681;0.4685029;0.5536823;0.5193468;468.2;0.2231505;False;15/04/2026 9:28:37 PM:148;1776252517148;;
596;291;0.5111658;0.4687908;0.5614663;0.4875391;466.9;0.2252897;False;15/04/2026 9:28:37 PM:167;1776252517167;;
598;291;0.5126264;0.4690275;0.5615787;0.487512;465.7;0.2254443;False;15/04/2026 9:28:37 PM:185;1776252517185;;
599;291;0.5139471;0.4692452;0.5615585;0.4875169;464.6;0.2254169;False;15/04/2026 9:28:37 PM:203;1776252517203;;
601;291;0.5151508;0.4694467;0.5615454;0.48752;463.7;0.2253981;False;15/04/2026 9:28:37 PM:222;1776252517222;;
626;291;0.5369397;0.4696376;0.6964041;0.4922026;463.4;0.2131045;False;15/04/2026 9:28:37 PM:242;1776252517242;;
639;291;0.5478497;0.4697513;0.6699318;0.4792798;463.2;0.2134793;False;15/04/2026 9:28:37 PM:261;1776252517261;;
649;291;0.5567868;0.4698505;0.6699993;0.4792628;463.0;0.2135611;False;15/04/2026 9:28:37 PM:278;1776252517278;;
658;291;0.5646864;0.4699442;0.6699643;0.4792716;462.8;0.213519;False;15/04/2026 9:28:37 PM:297;1776252517297;;
659;292;0.565519;0.4709896;0.6081703;0.5372613;462.5;0.234386;False;15/04/2026 9:28:37 PM:317;1776252517317;;
660;293;0.5655712;0.4718337;0.5827;0.5371981;462.1;0.2346394;False;15/04/2026 9:28:37 PM:335;1776252517335;;
