X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
361;273;0.3128781;0.4596421;0.2346366;0.5509282;517.1;0.227827;False;14/04/2026 2:55:29 PM:381;1776142529381;;
361;273;0.3125459;0.4596728;0.2902053;0.5370602;518.2;0.231997;False;14/04/2026 2:55:29 PM:403;1776142529403;;
361;273;0.3122892;0.4597005;0.2904493;0.5369962;519.1;0.2322642;False;14/04/2026 2:55:29 PM:422;1776142529422;;
360;273;0.3120655;0.4597275;0.2905976;0.5369573;520.0;0.2324274;False;14/04/2026 2:55:29 PM:442;1776142529442;;
360;273;0.311876;0.4597536;0.2907692;0.5369124;520.8;0.2326166;False;14/04/2026 2:55:29 PM:462;1776142529462;;
365;273;0.3159123;0.4600988;0.3763582;0.526154;522.2;0.2253304;False;14/04/2026 2:55:29 PM:484;1776142529484;;
368;273;0.3190542;0.4603815;0.3765157;0.5261116;523.4;0.2255012;False;14/04/2026 2:55:29 PM:504;1776142529504;;
372;273;0.3219115;0.4607237;0.3778426;0.5224139;524.6;0.225761;False;14/04/2026 2:55:29 PM:525;1776142529525;;
493;270;0.4270956;0.4560066;0.7239823;0.3859454;525.2;0.2253866;False;14/04/2026 2:55:29 PM:547;1776142529547;;
570;268;0.493201;0.4525203;0.7326199;0.3849668;525.8;0.2265831;False;14/04/2026 2:55:29 PM:566;1776142529566;;
630;266;0.5452756;0.4491807;0.7327217;0.3848983;526.4;0.227088;False;14/04/2026 2:55:29 PM:588;1776142529588;;
672;266;0.5814463;0.4483139;0.7213234;0.421615;524.6;0.2097224;False;14/04/2026 2:55:29 PM:612;1776142529612;;
700;265;0.6060964;0.4473157;0.7321184;0.4112779;523.0;0.2119523;False;14/04/2026 2:55:29 PM:630;1776142529630;;
724;265;0.6264656;0.4463575;0.7321165;0.411279;521.6;0.2119426;False;14/04/2026 2:55:29 PM:653;1776142529653;;
740;264;0.6404954;0.445165;0.7291432;0.40116;520.3;0.2109138;False;14/04/2026 2:55:29 PM:673;1776142529673;;
774;263;0.6698105;0.4440678;0.8128599;0.3990341;517.4;0.2322723;False;14/04/2026 2:55:29 PM:694;1776142529694;;
802;262;0.6939072;0.4426099;0.8171241;0.3890448;514.7;0.2332807;False;14/04/2026 2:55:29 PM:713;1776142529713;;
822;262;0.7113811;0.4417544;0.8128524;0.3990362;512.3;0.232228;False;14/04/2026 2:55:29 PM:736;1776142529736;;
833;262;0.720616;0.4415523;0.7881398;0.4192179;511.1;0.2364834;False;14/04/2026 2:55:29 PM:759;1776142529759;;
841;262;0.727637;0.4413817;0.7881383;0.4192183;510.0;0.2364769;False;14/04/2026 2:55:29 PM:780;1776142529780;;
847;262;0.7329598;0.4412404;0.7882184;0.4191927;509.0;0.2367986;False;14/04/2026 2:55:29 PM:802;1776142529802;;
859;261;0.7432781;0.4406464;0.8293179;0.3992113;506.7;0.2316748;False;14/04/2026 2:55:29 PM:823;1776142529823;;
869;261;0.7524691;0.4399847;0.8351412;0.3947788;504.6;0.2332375;False;14/04/2026 2:55:29 PM:843;1776142529843;;
878;261;0.7598785;0.4394049;0.8349525;0.3948321;502.7;0.232132;False;14/04/2026 2:55:29 PM:865;1776142529865;;
887;260;0.7679895;0.4393849;0.8457529;0.4367713;501.7;0.2180537;False;14/04/2026 2:55:29 PM:888;1776142529888;;
891;260;0.7715334;0.4393557;0.8262821;0.4313654;500.8;0.2190578;False;14/04/2026 2:55:29 PM:908;1776142529908;;
895;260;0.7747619;0.4393274;0.8262983;0.431356;500.0;0.2191449;False;14/04/2026 2:55:29 PM:930;1776142529930;;
895;260;0.7747393;0.4381475;0.767647;0.3805345;497.0;0.2273528;False;14/04/2026 2:55:29 PM:952;1776142529952;;
896;260;0.7753153;0.438126;0.7966717;0.4221201;494.2;0.2293241;False;14/04/2026 2:55:29 PM:973;1776142529973;;
896;260;0.775302;0.4381032;0.7714879;0.4355333;491.8;0.2264246;False;14/04/2026 2:55:30 PM:0;1776142530000;;
896;260;0.77535;0.4381341;0.7803113;0.4417382;489.6;0.2284286;False;14/04/2026 2:55:30 PM:21;1776142530021;;
896;260;0.7753925;0.4381607;0.780373;0.4417036;487.6;0.2287667;False;14/04/2026 2:55:30 PM:41;1776142530041;;
896;260;0.7754294;0.438183;0.7804326;0.4416702;485.8;0.2290942;False;14/04/2026 2:55:30 PM:61;1776142530061;;
896;259;0.7754199;0.4376149;0.7702705;0.3965248;486.9;0.2381027;False;14/04/2026 2:55:30 PM:81;1776142530081;;
896;259;0.7756067;0.437239;0.7890059;0.4002514;487.8;0.2392929;False;14/04/2026 2:55:30 PM:102;1776142530102;;
896;259;0.7755894;0.4367909;0.7702962;0.3965073;488.7;0.2382313;False;14/04/2026 2:55:30 PM:123;1776142530123;;
895;259;0.7745987;0.4367732;0.7413982;0.4205913;492.3;0.2143646;False;14/04/2026 2:55:30 PM:146;1776142530146;;
894;259;0.7738333;0.4367591;0.7414377;0.4205676;495.6;0.2145655;False;14/04/2026 2:55:30 PM:167;1776142530167;;
893;259;0.7731378;0.4367459;0.7414769;0.4205443;498.5;0.2147665;False;14/04/2026 2:55:30 PM:189;1776142530189;;
893;259;0.7730926;0.4375217;0.7596353;0.4701108;500.7;0.2229305;False;14/04/2026 2:55:30 PM:212;1776142530212;;
893;260;0.7729475;0.4378908;0.7537246;0.4618065;502.7;0.2249551;False;14/04/2026 2:55:30 PM:233;1776142530233;;
893;260;0.7728183;0.4382153;0.7536848;0.4618297;504.5;0.2247463;False;14/04/2026 2:55:30 PM:253;1776142530253;;
875;260;0.7573747;0.4387102;0.6230408;0.4699745;507.0;0.2295709;False;14/04/2026 2:55:30 PM:273;1776142530273;;
863;260;0.7473856;0.4389618;0.6347148;0.4628025;509.3;0.2307615;False;14/04/2026 2:55:30 PM:293;1776142530293;;
853;260;0.7385687;0.4392012;0.6340508;0.4629852;511.3;0.230219;False;14/04/2026 2:55:30 PM:314;1776142530314;;
682;265;0.5901006;0.4467289;0.2383563;0.574195;512.0;0.224261;False;14/04/2026 2:55:30 PM:336;1776142530336;;
574;268;0.4971584;0.4513085;0.2306568;0.560095;512.6;0.2259057;False;14/04/2026 2:55:30 PM:356;1776142530356;;
498;270;0.4311768;0.4554638;0.2304022;0.5601628;513.1;0.2256263;False;14/04/2026 2:55:30 PM:377;1776142530377;;
435;273;0.3769066;0.4601845;0.2077255;0.5726082;514.6;0.2440098;False;14/04/2026 2:55:30 PM:398;1776142530398;;
391;275;0.3388661;0.4641634;0.206265;0.5717281;516.0;0.2456963;False;14/04/2026 2:55:30 PM:422;1776142530422;;
363;277;0.3142804;0.4673225;0.2068084;0.5727043;517.3;0.2443708;False;14/04/2026 2:55:30 PM:442;1776142530442;;
341;279;0.2957597;0.4700348;0.2063472;0.5717053;518.4;0.245941;False;14/04/2026 2:55:30 PM:462;1776142530462;;
339;279;0.2939942;0.4702386;0.2800037;0.5249189;519.3;0.2280142;False;14/04/2026 2:55:30 PM:484;1776142530484;;
333;279;0.2888942;0.4707786;0.2494059;0.5370709;520.2;0.2297998;False;14/04/2026 2:55:30 PM:504;1776142530504;;
332;279;0.287342;0.4712724;0.271005;0.5378875;521.0;0.2290299;False;14/04/2026 2:55:30 PM:523;1776142530523;;
332;280;0.2874804;0.4719599;0.2892389;0.5429035;520.5;0.2168852;False;14/04/2026 2:55:30 PM:545;1776142530545;;
332;280;0.2875846;0.4725015;0.2892551;0.5428991;520.2;0.2169028;False;14/04/2026 2:55:30 PM:565;1776142530565;;
332;281;0.2873431;0.4733309;0.283489;0.5511169;519.8;0.2171866;False;14/04/2026 2:55:30 PM:586;1776142530586;;
320;282;0.2773308;0.4756093;0.1996934;0.5790373;517.2;0.2252391;False;14/04/2026 2:55:30 PM:607;1776142530607;;
311;283;0.2693734;0.4775959;0.1998935;0.5790016;514.7;0.225876;False;14/04/2026 2:55:30 PM:628;1776142530628;;
304;284;0.2634215;0.4791962;0.1998785;0.5790056;512.6;0.2258372;False;14/04/2026 2:55:30 PM:648;1776142530648;;
301;288;0.2611624;0.4860514;0.2285751;0.6390643;509.7;0.2280446;False;14/04/2026 2:55:30 PM:671;1776142530671;;
299;291;0.2593889;0.4914153;0.2280138;0.6392143;507.2;0.2274541;False;14/04/2026 2:55:30 PM:692;1776142530692;;
295;293;0.2552449;0.4947666;0.1980203;0.6265335;504.9;0.2283561;False;14/04/2026 2:55:30 PM:712;1776142530712;;
293;295;0.2538572;0.4967142;0.223099;0.6118454;506.6;0.2266601;False;14/04/2026 2:55:30 PM:733;1776142530733;;
292;295;0.2527643;0.4976474;0.2231417;0.6000149;508.1;0.2274518;False;14/04/2026 2:55:30 PM:751;1776142530751;;
291;296;0.2517987;0.4984943;0.2231626;0.6000077;509.4;0.22751;False;14/04/2026 2:55:30 PM:772;1776142530772;;
290;296;0.2508716;0.4993259;0.2230695;0.6000394;510.6;0.2272504;False;14/04/2026 2:55:30 PM:794;1776142530794;;
287;297;0.2489742;0.5011513;0.206281;0.6181523;511.0;0.2142914;False;14/04/2026 2:55:30 PM:816;1776142530816;;
286;298;0.2475319;0.501704;0.2066258;0.6014811;511.3;0.2159043;False;14/04/2026 2:55:30 PM:836;1776142530836;;
284;298;0.2462284;0.5022159;0.2064045;0.6015443;511.5;0.2153374;False;14/04/2026 2:55:30 PM:857;1776142530857;;
281;298;0.2434759;0.5028136;0.1853044;0.5718201;512.2;0.2477325;False;14/04/2026 2:55:30 PM:879;1776142530879;;
277;299;0.2403942;0.5034139;0.175924;0.5667912;512.8;0.2491568;False;14/04/2026 2:55:30 PM:899;1776142530899;;
275;299;0.2379025;0.5039068;0.175532;0.5668969;513.3;0.2486734;False;14/04/2026 2:55:30 PM:918;1776142530918;;
272;299;0.2355795;0.5043804;0.1754975;0.5669062;513.8;0.2486308;False;14/04/2026 2:55:30 PM:938;1776142530938;;
271;300;0.2351188;0.5050721;0.2019246;0.5510973;514.6;0.2307038;False;14/04/2026 2:55:30 PM:961;1776142530961;;
271;300;0.2345168;0.5055507;0.1967264;0.5585203;515.3;0.2300527;False;14/04/2026 2:55:30 PM:982;1776142530982;;
270;300;0.2342252;0.5060294;0.201865;0.5511135;516.0;0.2305426;False;14/04/2026 2:55:31 PM:2;1776142531002;;
275;300;0.2381004;0.5062191;0.2920355;0.5786707;516.5;0.2319978;False;14/04/2026 2:55:31 PM:25;1776142531025;;
276;300;0.2394631;0.5063134;0.2731379;0.5769458;516.9;0.2329694;False;14/04/2026 2:55:31 PM:44;1776142531044;;
278;300;0.2406959;0.5063986;0.273465;0.5768585;517.3;0.2333363;False;14/04/2026 2:55:31 PM:64;1776142531064;;
409;300;0.3543382;0.5050607;0.6681402;0.4739678;516.4;0.2209025;False;14/04/2026 2:55:31 PM:84;1776142531084;;
507;299;0.4393618;0.5042179;0.6969084;0.4795918;515.6;0.2221991;False;14/04/2026 2:55:31 PM:104;1776142531104;;
565;298;0.4889169;0.5032374;0.668736;0.4738184;514.8;0.2214987;False;14/04/2026 2:55:31 PM:124;1776142531124;;
638;294;0.5524488;0.495787;0.735843;0.3935475;516.2;0.2425765;False;14/04/2026 2:55:31 PM:148;1776142531148;;
