X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
718;280;0.6212243;0.4734086;0.7151026;0.4113775;471.6;0.2201497;False;14/04/2026 4:52:21 PM:617;1776149541617;;
726;280;0.628164;0.4727833;0.7078266;0.4437271;471.2;0.2388262;False;14/04/2026 4:52:21 PM:640;1776149541640;;
732;280;0.6337457;0.4723867;0.7111979;0.4471789;470.8;0.2395546;False;14/04/2026 4:52:21 PM:659;1776149541659;;
737;279;0.6382516;0.4720511;0.7111962;0.4471795;470.4;0.2395487;False;14/04/2026 4:52:21 PM:677;1776149541677;;
744;279;0.6439921;0.4716217;0.7234749;0.4433358;469.4;0.2358827;False;14/04/2026 4:52:21 PM:699;1776149541699;;
748;279;0.6472405;0.4711783;0.7124711;0.4393307;468.5;0.2360293;False;14/04/2026 4:52:21 PM:718;1776149541718;;
751;279;0.6500425;0.4707834;0.7124688;0.439333;467.7;0.236009;False;14/04/2026 4:52:21 PM:738;1776149541738;;
754;278;0.6524032;0.4704411;0.7124615;0.4393401;467.0;0.2359495;False;14/04/2026 4:52:21 PM:757;1776149541757;;
756;278;0.6540381;0.4704072;0.705855;0.4575503;465.5;0.2274145;False;14/04/2026 4:52:21 PM:778;1776149541778;;
758;278;0.6563696;0.4704574;0.7193974;0.4783562;464.1;0.2275771;False;14/04/2026 4:52:21 PM:797;1776149541797;;
761;279;0.6583846;0.4705021;0.7193939;0.4783592;462.9;0.2275482;False;14/04/2026 4:52:21 PM:816;1776149541816;;
763;279;0.6602113;0.4705437;0.7193934;0.4783595;461.8;0.2275448;False;14/04/2026 4:52:21 PM:836;1776149541836;;
763;278;0.660176;0.4701374;0.6586528;0.4381549;461.6;0.2252537;False;14/04/2026 4:52:21 PM:857;1776149541857;;
763;278;0.6602746;0.4694878;0.6720104;0.4260105;461.4;0.2254165;False;14/04/2026 4:52:21 PM:876;1776149541876;;
763;278;0.6603677;0.4688786;0.6720096;0.4260065;461.2;0.2254286;False;14/04/2026 4:52:21 PM:896;1776149541896;;
750;278;0.6495124;0.4689603;0.5495659;0.4777717;459.9;0.2281448;False;14/04/2026 4:52:21 PM:915;1776149541915;;
744;278;0.6437925;0.4689689;0.5682623;0.4707137;458.8;0.2283075;False;14/04/2026 4:52:21 PM:935;1776149541935;;
738;278;0.6385192;0.4689773;0.5682643;0.4707128;457.8;0.2283143;False;14/04/2026 4:52:21 PM:957;1776149541957;;
748;277;0.6471318;0.4687326;0.7488614;0.4406621;454.7;0.2164863;False;14/04/2026 4:52:21 PM:977;1776149541977;;
757;277;0.6555347;0.4686676;0.759926;0.4503504;451.9;0.2167348;False;14/04/2026 4:52:21 PM:996;1776149541996;;
765;277;0.6626175;0.4686088;0.7599288;0.4503525;449.3;0.2167077;False;14/04/2026 4:52:22 PM:15;1776149542015;;
