X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
571;258;0.4946969;0.4363877;0.3856048;0.5308795;489.9;0.2386349;False;15/04/2026 8:50:43 PM:186;1776250243186;;
548;259;0.4740503;0.4378119;0.3249624;0.5142076;489.5;0.2499536;False;15/04/2026 8:50:43 PM:206;1776250243206;;
535;260;0.4633826;0.4389898;0.3481613;0.5156003;489.2;0.2505513;False;15/04/2026 8:50:43 PM:225;1776250243225;;
525;260;0.4544789;0.4400415;0.348192;0.5155886;489.0;0.2506494;False;15/04/2026 8:50:43 PM:244;1776250243244;;
511;261;0.4426552;0.4415674;0.3252477;0.5260862;490.0;0.2441835;False;15/04/2026 8:50:43 PM:263;1776250243263;;
501;262;0.4337561;0.4427935;0.3253111;0.526068;490.9;0.2444027;False;15/04/2026 8:50:43 PM:283;1776250243283;;
492;263;0.4259444;0.4439386;0.3253476;0.5260575;491.8;0.2445289;False;15/04/2026 8:50:43 PM:302;1776250243302;;
483;266;0.4180473;0.448626;0.3188516;0.5777318;492.6;0.2672297;False;15/04/2026 8:50:43 PM:325;1776250243325;;
474;267;0.4101049;0.4511104;0.3027715;0.5627086;493.3;0.2677336;False;15/04/2026 8:50:43 PM:343;1776250243343;;
465;268;0.4030774;0.4534149;0.3027598;0.5627132;494.0;0.2676935;False;15/04/2026 8:50:43 PM:363;1776250243363;;
461;270;0.399199;0.4563898;0.3189512;0.5776916;494.6;0.2675712;False;15/04/2026 8:50:43 PM:383;1776250243383;;
450;271;0.3900309;0.4574019;0.2776929;0.5491766;494.1;0.2579163;False;15/04/2026 8:50:43 PM:403;1776250243403;;
443;271;0.3832434;0.4581935;0.2777687;0.5491475;493.7;0.25818;False;15/04/2026 8:50:43 PM:422;1776250243422;;
433;271;0.3753855;0.4586525;0.263905;0.5427229;493.3;0.2583721;False;15/04/2026 8:50:43 PM:442;1776250243442;;
433;272;0.3753281;0.4588251;0.3454778;0.5250817;493.0;0.2494497;False;15/04/2026 8:50:43 PM:462;1776250243462;;
434;272;0.3756507;0.4590929;0.380429;0.533799;492.8;0.2473114;False;15/04/2026 8:50:43 PM:515;1776250243515;;
436;272;0.3776027;0.4595641;0.4155912;0.5084851;493.1;0.2489368;False;15/04/2026 8:50:43 PM:535;1776250243535;;
432;272;0.3744318;0.4598403;0.3025771;0.5373775;493.4;0.2519037;False;15/04/2026 8:50:43 PM:554;1776250243554;;
429;272;0.3715193;0.4601048;0.302601;0.53737;493.6;0.2520082;False;15/04/2026 8:50:43 PM:574;1776250243574;;
