X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
514;303;0.4454975;0.5122441;0.3308107;0.5174674;705.7;0.1987358;False;14/04/2026 4:21:54 PM:555;1776147714555;;
502;303;0.4345897;0.5124202;0.3436944;0.5321385;704.3;0.1981699;False;14/04/2026 4:21:54 PM:579;1776147714579;;
502;303;0.4346497;0.5125797;0.4399861;0.5338857;704.6;0.2106255;False;14/04/2026 4:21:54 PM:598;1776147714598;;
501;303;0.4338464;0.5125823;0.4099097;0.5139059;704.8;0.20953;False;14/04/2026 4:21:54 PM:619;1776147714619;;
500;303;0.4331588;0.5125846;0.4101233;0.5138783;705.1;0.2098681;False;14/04/2026 4:21:54 PM:638;1776147714638;;
500;303;0.4325759;0.5125866;0.4099564;0.5138998;705.3;0.2096039;False;14/04/2026 4:21:54 PM:657;1776147714657;;
495;303;0.42853;0.5125769;0.3646361;0.5096721;705.6;0.2130947;False;14/04/2026 4:21:54 PM:678;1776147714678;;
491;303;0.4252307;0.5125687;0.3644941;0.5096908;705.9;0.2128677;False;14/04/2026 4:21:54 PM:698;1776147714698;;
488;303;0.4224785;0.5125614;0.3645728;0.5096805;706.1;0.2129931;False;14/04/2026 4:21:54 PM:718;1776147714718;;
485;303;0.4201686;0.5125551;0.3644062;0.5097024;706.3;0.2127286;False;14/04/2026 4:21:54 PM:737;1776147714737;;
485;304;0.4200315;0.5126942;0.4024005;0.5312016;706.5;0.2036509;False;14/04/2026 4:21:54 PM:758;1776147714758;;
485;304;0.4199129;0.512813;0.4023193;0.5312107;706.7;0.2035158;False;14/04/2026 4:21:54 PM:778;1776147714778;;
485;304;0.4198093;0.5129206;0.4025136;0.531189;706.9;0.2038405;False;14/04/2026 4:21:54 PM:799;1776147714799;;
472;304;0.4086241;0.5129303;0.2951436;0.5217296;702.8;0.2100201;False;14/04/2026 4:21:54 PM:821;1776147714821;;
462;304;0.4001537;0.5129385;0.2950688;0.5217393;699.2;0.2098895;False;14/04/2026 4:21:54 PM:841;1776147714841;;
454;304;0.393043;0.512946;0.2950412;0.5217429;696.0;0.2098416;False;14/04/2026 4:21:54 PM:862;1776147714862;;
455;304;0.393827;0.5129765;0.4158713;0.5255138;696.3;0.2219104;False;14/04/2026 4:21:54 PM:882;1776147714882;;
455;304;0.3940012;0.512998;0.4030368;0.5249653;696.5;0.2213364;False;14/04/2026 4:21:54 PM:902;1776147714902;;
455;304;0.3941563;0.5130172;0.4031669;0.5249491;696.8;0.2215507;False;14/04/2026 4:21:54 PM:921;1776147714921;;
452;303;0.3912232;0.512465;0.3279294;0.4808119;697.1;0.2077813;False;14/04/2026 4:21:54 PM:942;1776147714942;;
449;303;0.3888186;0.5120045;0.3277375;0.4808248;697.4;0.2074664;False;14/04/2026 4:21:54 PM:961;1776147714961;;
446;303;0.3866758;0.5115838;0.3277893;0.4808214;697.7;0.2075517;False;14/04/2026 4:21:54 PM:982;1776147714982;;
442;303;0.382558;0.5116318;0.3042742;0.5210528;698.3;0.2193492;False;14/04/2026 4:21:55 PM:2;1776147715002;;
441;303;0.3820414;0.5116791;0.3428479;0.5220588;698.8;0.2187057;False;14/04/2026 4:21:55 PM:21;1776147715021;;
441;303;0.3815593;0.5117234;0.3427749;0.5220695;699.2;0.2185849;False;14/04/2026 4:21:55 PM:41;1776147715041;;
440;303;0.3811499;0.5117618;0.342947;0.5220443;699.6;0.21887;False;14/04/2026 4:21:55 PM:60;1776147715060;;
440;303;0.3813711;0.5116991;0.3889856;0.500964;696.8;0.227359;False;14/04/2026 4:21:55 PM:81;1776147715081;;
441;303;0.3818259;0.5115811;0.3969378;0.495116;694.3;0.2269937;False;14/04/2026 4:21:55 PM:100;1776147715100;;
441;303;0.3822196;0.5114765;0.396907;0.4951197;692.1;0.2269411;False;14/04/2026 4:21:55 PM:120;1776147715120;;
441;301;0.3820615;0.509074;0.3587368;0.4342159;691.7;0.2167227;False;14/04/2026 4:21:55 PM:141;1776147715141;;
441;300;0.3819248;0.5071388;0.3584794;0.4342887;691.4;0.2163278;False;14/04/2026 4:21:55 PM:159;1776147715159;;
441;299;0.3818039;0.5054553;0.3584928;0.4342848;691.1;0.2163485;False;14/04/2026 4:21:55 PM:178;1776147715178;;
441;298;0.3816945;0.5039836;0.3584223;0.4343048;690.8;0.2162407;False;14/04/2026 4:21:55 PM:198;1776147715198;;
